x,649,APAR_30.1,APAR_31.2,APAR_32.3,APAR_33.4,APAR_34.5
2019-01-12--23:52:48,NaN,36.2,37.8,40.2,63.1,85.1
2019-01-12--23:56:24,NaN,36.3,37.8,40.2,63.1,85.1
2019-01-13--00:00:00,NaN,36.3,37.8,40.2,63.1,85.1
2019-01-13--00:03:36,NaN,36.3,37.9,40.2,63.1,85.1
2019-01-13--00:07:12,NaN,36.3,37.9,40.2,63.1,85.1
2019-01-13--00:10:48,NaN,36.3,37.9,40.2,63.1,85.1
2019-01-13--00:14:24,NaN,36.3,37.9,40.2,63.1,85.1
2019-01-13--00:18:00,NaN,36.3,37.9,40.2,63.1,85.2
2019-01-13--00:21:36,NaN,36.3,37.9,40.2,63.1,85.2
2019-01-13--00:25:12,NaN,36.3,37.9,40.2,63.1,85.2
2019-01-13--00:28:48,NaN,36.3,37.9,40.2,63.1,85.2
2019-01-13--00:32:24,NaN,36.3,37.9,40.2,63.1,85.2
2019-01-13--00:36:00,NaN,36.3,37.9,40.2,63.1,85.2
2019-01-13--00:39:36,NaN,36.3,37.9,40.2,63.1,85.2
2019-01-13--00:43:12,NaN,36.3,37.9,40.2,63.1,85.2
2019-01-13--00:46:48,NaN,36.3,37.9,40.2,63.2,85.2
2019-01-13--00:50:24,NaN,36.3,37.9,40.2,63.2,85.2
2019-01-13--00:54:00,NaN,36.3,37.9,40.2,63.2,85.2
2019-01-13--00:57:36,NaN,36.3,37.9,40.2,63.2,85.2
2019-01-13--01:01:12,NaN,36.4,37.9,40.3,63.2,85.2
2019-01-13--01:04:48,NaN,36.4,37.9,40.3,63.2,85.2
2019-01-13--01:08:24,NaN,36.4,37.9,40.3,63.2,85.2
2019-01-13--01:12:00,NaN,36.4,37.9,40.3,63.2,85.2
2019-01-13--01:15:36,NaN,36.4,37.9,40.3,63.2,85.2
2019-01-13--01:19:12,NaN,36.4,37.9,40.3,63.2,85.2
2019-01-13--01:22:48,NaN,36.4,37.9,40.3,63.2,85.2
2019-01-13--01:26:24,NaN,36.4,37.9,40.3,63.2,85.2
2019-01-13--01:30:00,NaN,36.4,37.9,40.3,63.2,85.2
2019-01-13--01:33:36,NaN,36.5,38.0,40.3,63.2,85.3
2019-01-13--01:37:12,NaN,36.5,38.0,40.3,63.2,85.3
2019-01-13--01:40:48,NaN,36.5,38.0,40.3,63.2,85.3
2019-01-13--01:44:24,NaN,36.5,38.0,40.3,63.2,85.3
2019-01-13--01:48:00,NaN,36.5,38.0,40.3,63.2,85.3
2019-01-13--01:51:36,NaN,36.5,38.0,40.3,63.2,85.3
2019-01-13--01:55:12,NaN,36.5,38.0,40.3,63.2,85.3
2019-01-13--01:58:48,NaN,36.5,38.0,40.3,63.2,85.3
2019-01-13--02:02:24,NaN,36.6,38.1,40.3,63.3,85.3
2019-01-13--02:06:00,NaN,36.6,38.1,40.3,63.3,85.3
2019-01-13--02:09:36,NaN,36.6,38.1,40.3,63.3,85.3
2019-01-13--02:13:12,NaN,36.6,38.1,40.3,63.3,85.3
2019-01-13--02:16:48,NaN,36.6,38.1,40.3,63.3,85.3
2019-01-13--02:20:24,NaN,36.6,38.1,40.3,63.3,85.3
2019-01-13--02:24:00,NaN,36.6,38.1,40.3,63.3,85.3
2019-01-13--02:27:36,NaN,36.6,38.1,40.3,63.3,85.3
2019-01-13--02:31:12,NaN,36.6,38.1,40.4,63.3,85.3
2019-01-13--02:34:48,NaN,36.6,38.1,40.4,63.3,85.3
2019-01-13--02:38:24,NaN,36.6,38.1,40.4,63.3,85.3
2019-01-13--02:42:00,NaN,36.6,38.1,40.4,63.3,85.3
2019-01-13--02:45:36,NaN,36.6,38.1,40.4,63.3,85.3
2019-01-13--02:49:12,NaN,36.6,38.1,40.4,63.3,85.3
2019-01-13--02:52:48,NaN,36.6,38.1,40.4,63.3,85.3
2019-01-13--02:56:24,NaN,36.6,38.1,40.4,63.3,85.3
2019-01-13--03:00:00,NaN,36.6,38.1,40.4,63.3,85.3
2019-01-13--03:03:36,NaN,36.6,38.1,40.4,63.3,85.3
2019-01-13--03:07:12,NaN,36.6,38.1,40.4,63.3,85.3
2019-01-13--03:10:48,NaN,36.6,38.1,40.4,63.3,85.3
2019-01-13--03:14:24,NaN,36.6,38.1,40.4,63.3,85.3
2019-01-13--03:18:00,NaN,36.7,38.2,40.4,63.4,85.3
2019-01-13--03:21:36,NaN,36.7,38.2,40.4,63.4,85.3
2019-01-13--03:25:12,NaN,36.7,38.2,40.4,63.4,85.3
2019-01-13--03:28:48,NaN,36.7,38.2,40.4,63.4,85.3
2019-01-13--03:32:24,NaN,36.7,38.2,40.5,63.4,85.4
2019-01-13--03:36:00,NaN,36.7,38.2,40.5,63.4,85.4
2019-01-13--03:39:36,NaN,36.7,38.2,40.5,63.4,85.4
2019-01-13--03:43:12,NaN,36.7,38.2,40.5,63.4,85.4
2019-01-13--03:46:48,NaN,36.7,38.2,40.5,63.4,85.4
2019-01-13--03:50:24,NaN,36.7,38.2,40.5,63.4,85.4
2019-01-13--03:54:00,NaN,36.7,38.2,40.5,63.4,85.4
2019-01-13--03:57:36,NaN,36.7,38.2,40.5,63.4,85.4
2019-01-13--04:01:12,NaN,36.8,38.3,40.5,63.4,85.4
2019-01-13--04:04:48,NaN,36.8,38.3,40.5,63.4,85.4
2019-01-13--04:08:24,NaN,36.8,38.3,40.5,63.4,85.4
2019-01-13--04:12:00,NaN,36.8,38.3,40.5,63.4,85.4
2019-01-13--04:15:36,NaN,36.8,38.3,40.5,63.5,85.4
2019-01-13--04:19:12,NaN,36.8,38.3,40.5,63.5,85.4
2019-01-13--04:22:48,NaN,36.8,38.3,40.5,63.5,85.4
2019-01-13--04:26:24,NaN,36.8,38.3,40.5,63.5,85.4
2019-01-13--04:30:00,NaN,36.8,38.3,40.5,63.5,85.4
2019-01-13--04:33:36,NaN,36.7,38.3,40.6,63.5,85.4
2019-01-13--04:37:12,NaN,36.7,38.3,40.6,63.5,85.4
2019-01-13--04:40:48,NaN,36.7,38.3,40.6,63.5,85.4
2019-01-13--04:44:24,NaN,36.7,38.3,40.6,63.5,85.4
2019-01-13--04:48:00,NaN,36.7,38.2,40.6,63.5,85.4
2019-01-13--04:51:36,NaN,36.7,38.2,40.6,63.5,85.4
2019-01-13--04:55:12,NaN,36.7,38.2,40.6,63.5,85.4
2019-01-13--04:58:48,NaN,36.7,38.2,40.6,63.5,85.4
2019-01-13--05:02:24,NaN,36.8,38.3,40.6,63.5,85.4
